# action vocabulary for FDN+SPG (Foundations), generated by VocabDump
# 740 card printings, 644 actions, 530 targets; indices >= those counts are the hashed tail
dim	1024
T	68	Broken Wings
T	69	Bulk Up
T	70	Burglar Rat
T	71	Burnished Hart
T	72	Burrog Befuddler
T	73	Burst Lightning
T	74	Bushwhack
T	75	Cackling Prowler
T	76	Campus Guide
T	77	Cancel
T	78	Carnelian Orb of Dragonkind
T	79	Cat Collector
T	80	Cathar Commando
T	81	Celestial Armor
T	82	Cemetery Recruitment
T	83	Cephalid Inkmage
T	84	Chandra, Flameshaper
T	85	Charming Prince
T	86	Chart a Course
T	87	Circuitous Route
T	88	Claws Out
T	89	Clinquant Skymage
T	90	Cloudblazer
T	91	Condemn
T	92	Confiscate
T	93	Consuming Aberration
T	94	Corsair Captain
T	95	Courageous Goblin
T	96	Crackling Cyclops
T	97	Crash Through
T	98	Crawling Barrens
T	99	Crossway Troublemakers
T	100	Crow of Dark Tidings
T	101	Crusader of Odric
T	102	Crypt Feaster
T	103	Cryptic Caves
T	104	Crystal Barricade
T	105	Cultivator's Caravan
T	106	Curator of Destinies
T	107	Darksteel Colossus
T	108	Dauntless Veteran
T	109	Dawnwing Marshal
T	110	Day of Judgment
T	111	Dazzling Angel
T	112	Deadly Brew
T	113	Deadly Plot
T	114	Deadly Riposte
T	115	Death Baron
T	116	Deathmark
T	117	Demolition Field
T	118	Demonic Pact
T	119	Desecration Demon
T	120	Devout Decree
T	121	Diamond Mare
T	122	Dictate of Kruphix
T	123	Dimir Guildgate
T	124	Diregraf Ghoul
T	125	Disenchant
T	126	Dismal Backwater
T	127	Dive Down
T	128	Divine Resilience
T	129	Doubling Season
T	130	Dragon Fodder
T	131	Dragon Mage
T	132	Dragon Trainer
T	133	Dragonlord's Servant
T	134	Dragonmaster Outcast
T	135	Drake Hatcher
T	136	Drakuseth, Maw of Flames
T	137	Dread Summons
T	138	Dreadwing Scavenger
T	139	Driver of the Dead
T	140	Drogskol Reaver
T	141	Dropkick Bomber
T	142	Druid of the Cowl
T	143	Dryad Militant
T	144	Duress
T	145	Dwynen's Elite
T	146	Dwynen, Gilt-Leaf Daen
T	147	Eager Trufflesnout
T	148	Eaten Alive
T	149	Eaten by Piranhas
T	150	Electroduplicate
T	151	Elementalist Adept
T	152	Elenda, Saint of Dusk
T	153	Elfsworn Giant
T	154	Elspeth's Smite
T	155	Elvish Archdruid
T	156	Elvish Regrower
T	157	Embercleave
T	158	Empyrean Eagle
T	159	Enigma Drake
T	160	Erudite Wizard
T	161	Essence Scatter
T	162	Etali, Primal Storm
T	163	Evolving Wilds
T	164	Exclusion Mage
T	165	Exemplar of Light
T	166	Expedition Map
T	167	Exsanguinate
T	168	Extravagant Replication
T	169	Faebloom Trick
T	170	Fake Your Own Death
T	171	Fanatical Firebrand
T	172	Feed the Swarm
T	173	Feldon's Cane
T	174	Felidar Cub
T	175	Felidar Retreat
T	176	Felidar Savior
T	177	Felling Blow
T	178	Fiend Artisan
T	179	Fiendish Panda
T	180	Fierce Empath
T	181	Fiery Annihilation
T	182	Finale of Revelation
T	183	Fire Elemental
T	184	Firebrand Archer
T	185	Fireshrieker
T	186	Firespitter Whelp
T	187	Fishing Pole
T	188	Flamewake Phoenix
T	189	Flashfreeze
T	190	Fleeting Distraction
T	191	Fleeting Flight
T	192	Fog Bank
T	193	Forest
T	194	Frenzied Goblin
T	195	Fumigate
T	196	Fynn, the Fangbearer
T	197	Garna, Bloodfist of Keld
T	198	Garruk's Uprising
T	199	Gate Colossus
T	200	Gatekeeper of Malakir
T	201	Gateway Sneak
T	202	Genesis Wave
T	203	Ghalta, Primal Hunger
T	204	Ghitu Lavarunner
T	205	Giada, Font of Hope
T	206	Giant Cindermaw
T	207	Giant Growth
T	208	Gigantosaurus
T	209	Gilded Lotus
T	210	Gleaming Barrier
T	211	Gnarlback Rhino
T	212	Gnarlid Colony
T	213	Goblin Boarders
T	214	Goblin Bushwhacker
T	215	Goblin Firebomb
T	216	Goblin Negotiation
T	217	Goblin Oriflamme
T	218	Goblin Smuggler
T	219	Goblin Surprise
T	220	Goldvein Pick
T	221	Golgari Guildgate
T	222	Good-Fortune Unicorn
T	223	Gorehorn Raider
T	224	Grappling Kraken
T	225	Gratuitous Violence
T	226	Grim Tutor
T	227	Grow from the Ashes
T	228	Gruul Guildgate
T	229	Guarded Heir
T	230	Gutless Plunderer
T	231	Guttersnipe
T	232	Halana and Alena, Partners
T	233	Harbinger of the Tides
T	234	Hare Apparent
T	235	Harmless Offering
T	236	Healer's Hawk
T	237	Heartfire Immolator
T	238	Hedron Archive
T	239	Helpful Hunter
T	240	Herald of Eternal Dawn
T	241	Herald of Faith
T	242	Heraldic Banner
T	243	Hero's Downfall
T	244	Heroes' Bane
T	245	Heroic Reinforcements
T	246	Hidetsugu's Second Rite
T	247	High Fae Trickster
T	248	High-Society Hunter
T	249	Highborn Vampire
T	250	Hinterland Sanctifier
T	251	Hoarding Dragon
T	252	Homunculus Horde
T	253	Hungry Ghoul
T	254	Icewind Elemental
T	255	Immersturm Predator
T	256	Impact Tremors
T	257	Imperious Perfect
T	258	Imprisoned in the Moon
T	259	Incinerating Blast
T	260	Infernal Vessel
T	261	Infestation Sage
T	262	Ingenious Leonin
T	263	Inspiration from Beyond
T	264	Inspiring Call
T	265	Inspiring Overseer
T	266	Inspiring Paladin
T	267	Into the Roil
T	268	Involuntary Employment
T	269	Island
T	270	Izzet Guildgate
T	271	Jazal Goldmane
T	272	Joraga Invocation
T	273	Joust Through
T	274	Juggernaut
T	275	Jungle Hollow
T	276	Kaito, Cunning Infiltrator
T	277	Kalastria Highborn
T	278	Kargan Dragonrider
T	279	Kellan, Planar Trailblazer
T	280	Kindled Fury
T	281	Kiora, the Rising Tide
T	282	Kitesail Corsair
T	283	Knight of Grace
T	284	Knight of Malice
T	285	Koma, World-Eater
T	286	Krenko, Mob Boss
T	287	Kykar, Zephyr Awakener
T	288	Lathliss, Dragon Queen
T	289	Lathril, Blade of the Elves
T	290	Leonin Skyhunter
T	291	Leonin Vanguard
T	292	Leyline Axe
T	293	Lightshell Duo
T	294	Liliana, Dreadhorde General
T	295	Linden, the Steadfast Queen
T	296	Llanowar Elves
T	297	Loot, Exuberant Explorer
T	298	Luminous Rebuke
T	299	Lunar Insight
T	300	Lyra Dawnbringer
T	301	Maalfeld Twins
T	302	Macabre Waltz
T	303	Maelstrom Pulse
T	304	Magnigoth Sentry
T	305	Make Your Move
T	306	Make a Stand
T	307	Marauding Blight-Priest
T	308	Massacre Wurm
T	309	Maze's End
T	310	Mazemind Tome
T	311	Mentor of the Meek
T	312	Meteor Golem
T	313	Micromancer
T	314	Midnight Reaper
T	315	Midnight Snack
T	316	Mild-Mannered Librarian
T	317	Mindsparker
T	318	Mischievous Mystic
T	319	Mischievous Pup
T	320	Mocking Sprite
T	321	Mold Adder
T	322	Moment of Craving
T	323	Moment of Triumph
T	324	Mortify
T	325	Mossborn Hydra
T	326	Mountain
T	327	Muldrotha, the Gravetide
T	328	Myojin of Night's Reach
T	329	Mystic Archaeologist
T	330	Mystical Teachings
T	331	Needletooth Pack
T	332	Negate
T	333	Nessian Hornbeetle
T	334	New Horizons
T	335	Nine-Lives Familiar
T	336	Niv-Mizzet, Visionary
T	337	Nullpriest of Oblivion
T	338	Obliterating Bolt
T	339	Offer Immortality
T	340	Omniscience
T	341	Opt
T	342	Ordeal of Nylea
T	343	Orzhov Guildgate
T	344	Overrun
T	345	Ovika, Enigma Goliath
T	346	Pacifism
T	347	Painful Quandary
T	348	Paradise Druid
T	349	Pelakka Wurm
T	350	Perforating Artist
T	351	Phyrexian Arena
T	352	Pilfer
T	353	Pirate's Cutlass
T	354	Plains
T	355	Prayer of Binding
T	356	Predator Ooze
T	357	Preposterous Proportions
T	358	Prideful Parent
T	359	Primal Might
T	360	Prime Speaker Zegana
T	361	Primeval Bounty
T	362	Progenitus
T	363	Pulse Tracker
T	364	Pyromancer's Goggles
T	365	Quakestrider Ceratops
T	366	Quick Study
T	367	Quick-Draw Katana
T	368	Quilled Greatwurm
T	369	Raging Redcap
T	370	Raise the Past
T	371	Rakdos Guildgate
T	372	Ramos, Dragon Engine
T	373	Rampaging Baloths
T	374	Rapacious Dragon
T	375	Ravenous Amulet
T	376	Ravenous Giant
T	377	Reassembling Skeleton
T	378	Reclamation Sage
T	379	Redcap Gutter-Dweller
T	380	Refute
T	381	Regal Caracal
T	382	Release the Dogs
T	383	Resolute Reinforcements
T	384	Revenge of the Rats
T	385	Rise of the Dark Realms
T	386	Rite of Replication
T	387	Rite of the Dragoncaller
T	388	River's Rebuke
T	389	Rogue's Passage
T	390	Ruby, Daring Tracker
T	391	Rugged Highlands
T	392	Run Away Together
T	393	Rune-Scarred Demon
T	394	Rune-Sealed Wall
T	395	Sanguine Indulgence
T	396	Sanguine Syphoner
T	397	Savage Ventmaw
T	398	Savannah Lions
T	399	Scavenging Ooze
T	400	Scorching Dragonfire
T	401	Scoured Barrens
T	402	Scrawling Crawler
T	403	Searslicer Goblin
T	404	Secluded Courtyard
T	405	Seeker's Folly
T	406	Seismic Rupture
T	407	Seize the Spoils
T	408	Selesnya Guildgate
T	409	Self-Reflection
T	410	Serra Angel
T	411	Shipwreck Dowser
T	412	Shivan Dragon
T	413	Simic Guildgate
T	414	Sire of Seven Deaths
T	415	Skeleton Archer
T	416	Skyknight Squire
T	417	Skyraker Giant
T	418	Skyship Buccaneer
T	419	Slagstorm
T	420	Slumbering Cerberus
T	421	Snakeskin Veil
T	422	Solemn Simulacrum
T	423	Sorcerous Spyglass
T	424	Soul-Guide Lantern
T	425	Soul-Shackled Zombie
T	426	Soulstone Sanctuary
T	427	Sower of Chaos
T	428	Spectral Sailor
T	429	Sphinx of Forgotten Lore
T	430	Sphinx of the Final Word
T	431	Sphinx's Tutelage
T	432	Spinner of Souls
T	433	Spitfire Lagac
T	434	Springbloom Druid
T	435	Squad Rallier
T	436	Stab
T	437	Starlight Snare
T	438	Stasis Snare
T	439	Steel Hellkite
T	440	Storm Fleet Spy
T	441	Strix Lookout
T	442	Stroke of Midnight
T	443	Stromkirk Bloodthief
T	444	Stromkirk Noble
T	445	Strongbox Raider
T	446	Sun-Blessed Healer
T	447	Sure Strike
T	448	Surrak, the Hunt Caller
T	449	Suspicious Shambler
T	450	Swab Goblin
T	451	Swamp
T	452	Swiftblade Vindicator
T	453	Swiftfoot Boots
T	454	Swiftwater Cliffs
T	455	Sylvan Scavenging
T	456	Syr Alin, the Lion's Claw
T	457	Tajuru Pathwarden
T	458	Tatyova, Benthic Druid
T	459	Taurean Mauler
T	460	Teach by Example
T	461	Tempest Djinn
T	462	Temple of Abandon
T	463	Temple of Deceit
T	464	Temple of Enlightenment
T	465	Temple of Epiphany
T	466	Temple of Malady
T	467	Temple of Malice
T	468	Temple of Mystery
T	469	Temple of Plenty
T	470	Temple of Silence
T	471	Temple of Triumph
T	472	Temporal Manipulation
T	473	Terror of Mount Velus
T	474	Think Twice
T	475	Thornweald Archer
T	476	Thornwood Falls
T	477	Thousand-Year Storm
T	478	Thrashing Brontodon
T	479	Three Tree Mascot
T	480	Thrill of Possibility
T	481	Time Stop
T	482	Tinybones, Bauble Burglar
T	483	Tolarian Terror
T	484	Tragic Banshee
T	485	Tranquil Cove
T	486	Treetop Snarespinner
T	487	Tribute to Hunger
T	488	Trygon Predator
T	489	Twinblade Blessing
T	490	Twinblade Paladin
T	491	Twinflame Tyrant
T	492	Uncharted Haven
T	493	Uncharted Voyage
T	494	Undying Malice
T	495	Unflinching Courage
T	496	Unsummon
T	497	Untamed Hunger
T	498	Valkyrie's Call
T	499	Valorous Stance
T	500	Vampire Gourmand
T	501	Vampire Interloper
T	502	Vampire Neonate
T	503	Vampire Nighthawk
T	504	Vampire Soulcaller
T	505	Vampire Spawn
T	506	Vampiric Rites
T	507	Vanguard Seraph
T	508	Vengeful Bloodwitch
T	509	Venom Connoisseur
T	510	Viashino Pyromancer
T	511	Vile Entomber
T	512	Vivien Reid
T	513	Vizier of the Menagerie
T	514	Volley Veteran
T	515	Voracious Greatshark
T	516	Wardens of the Cycle
T	517	Wary Thespian
T	518	Wildborn Preserver
T	519	Wildheart Invoker
T	520	Wildwood Scourge
T	521	Wilt-Leaf Liege
T	522	Wind-Scarred Crag
T	523	Wishclaw Talisman
T	524	Witness Protection
T	525	Youthful Valkyrie
T	526	Zetalpa, Primal Dawn
T	527	Zimone, Paradox Sculptor
T	528	Zombify
T	529	Zul Ashur, Lich Lord
